last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Buchholz, Clay,453329,89.7,89.2,84.4,,76.6,75.1,,
Erlin, Robbie,572362,90.7,90.5,,88.2,83.5,76.2,,
Vazquez, Felipe,553878,98.5,97.7,,86.8,88.5,82.5,,
Margevicius, Nick,676606,88.3,,,80.2,79.0,70.8,,
Trivino, Lou,642152,97.4,97.4,92.1,,87.6,79.8,,
Kelly, Joe,523260,97.5,98.3,,,87.7,87.4,,
Garrett, Amir,607237,95.8,95.1,,85.8,,,,
Banuelos, Manny,544365,92.0,91.4,,85.3,82.6,78.8,,
Webb, Tyler,643778,90.0,89.9,,,79.7,76.7,,
Hand, Brad,543272,92.7,91.9,,81.2,,,,
VerHagen, Drew,572403,93.8,92.9,,84.8,89.1,78.4,,
Harvey, Matt,518774,93.2,94.5,,87.2,85.7,81.4,,
Swarzak, Anthony,461872,93.4,92.4,,86.1,,,,
Wisler, Matt,605538,92.9,92.8,,83.5,,75.3,,
Hirano, Yoshihisa,673633,91.1,,,73.5,,,83.8,
Crick, Kyle,605195,95.3,94.9,,81.5,89.0,,,
Clippard, Tyler,461325,90.1,89.9,,,78.4,74.4,82.1,
Pressly, Ryan,519151,95.4,,,90.1,,82.8,,
Mayza, Tim,641835,93.6,94.3,,87.8,,,,
Poche, Colin,621363,92.9,,,,,83.8,83.2,
Alexander, Tyler,641302,90.6,90.7,,85.3,84.1,81.0,,
Gott, Trevor,641627,94.7,94.4,,86.0,89.0,81.1,,
Cole, Taylor,518566,93.2,,92.5,87.4,86.9,82.2,,
Ponce de Leon, Daniel,594965,93.4,,89.2,84.4,83.2,78.3,,
Herrera, Kelvin,516969,96.3,95.4,91.3,81.7,88.6,,,
Wingenter, Trey,622259,95.9,,,85.8,,,,
Gearrin, Cory,518715,91.0,91.3,,85.2,85.3,,,
McCarthy, Kevin,641838,88.9,91.1,,83.3,83.9,82.3,,
Guerrero, Tayron,594027,98.9,99.3,,87.3,,,,
Oberg, Scott,623184,94.3,95.2,,85.6,87.9,,,
McKay, Brendan,656713,93.7,,89.0,,86.4,81.7,,
Anderson, Justin,605121,94.6,94.7,,84.5,87.9,,,
McFarland, T.J.,519008,89.2,89.4,,80.9,82.0,,,
Chafin, Andrew,605177,93.6,93.8,,84.4,,,,
Diaz, Jairo,545064,97.3,96.8,,88.2,,,,
Burnes, Corbin,669203,95.2,95.7,92.6,87.9,90.8,80.9,,
Magill, Matt,543483,95.2,,94.6,88.4,89.7,85.9,,
Holmes, Clay,605280,94.0,94.3,,86.8,87.1,81.6,,
Kinley, Tyler,641755,94.9,,,88.5,,,,
Lopez, Yoan,661255,96.2,,,84.3,91.5,,,
Martin, Chris,455119,95.9,95.2,91.6,86.1,89.0,,,
Urquidy, Jose,664353,93.4,,,82.3,84.5,79.0,,
Miller, Shelby,571946,94.3,94.2,88.6,,86.7,79.4,,
Civale, Aaron,650644,92.0,92.6,87.9,83.6,84.2,75.5,,
Jeffress, Jeremy,502026,94.0,93.7,,,,81.0,90.2,
Martinez, Carlos,593372,96.7,94.4,93.9,86.2,88.2,,,
Kintzler, Brandon,445213,93.1,92.6,,86.7,87.5,,,
Harper, Ryne,607560,89.3,,87.7,,76.1,74.1,,
Dyson, Sam,473879,94.0,93.8,91.1,82.8,87.3,,,
Davis, Wade,451584,93.2,92.8,88.9,,90.6,82.8,,
Allard, Kolby,663465,92.4,,87.7,,81.6,77.6,,
Taylor, Josh,657031,94.8,94.8,,87.5,88.6,80.0,,
Marshall, Evan,605359,93.7,93.4,,,87.6,83.2,,
Nicasio, Juan,504379,93.8,93.1,,86.7,84.7,,,
Ferguson, Caleb,657571,94.4,,,,85.8,76.2,,
Kittredge, Andrew,552640,95.2,94.8,,88.3,85.8,,,
Watson, Tony,453265,94.2,93.0,,85.6,86.1,,,
Kolarek, Adam,592473,91.6,88.9,83.0,75.7,81.4,,,
Giles, Ken,571704,96.9,97.4,,86.4,,,,
Elias, Roenis,606273,93.9,93.7,,,86.6,77.5,,
Cimber, Adam,643256,85.9,84.9,,75.4,,,87.4,
Bard, Luke,572703,94.2,94.2,,86.0,87.1,,,
Smeltzer, Devin,656970,89.1,,,82.7,82.9,77.0,,
Rodriguez, Jefry,622446,93.9,93.4,,,87.8,80.9,,
Buchter, Ryan,488748,92.4,,89.7,,,77.6,,
Brice, Austin,592169,93.1,93.3,,,87.1,81.7,,
Toussaint, Touki,657053,93.7,93.2,,,,77.5,86.4,
Hernandez, David,456696,93.6,93.4,85.9,,88.0,82.0,,
Johnson, Brian,598271,88.9,88.9,,77.6,84.1,74.9,,
Yacabonis, Jimmy,642231,93.2,93.7,,82.7,87.0,,,
Kelley, Shawn,518875,91.9,,,82.4,83.3,,,
Suarez, Ranger,624133,92.9,91.9,,84.9,84.9,,,
Bleier, Richard,542947,85.8,89.0,87.5,79.7,81.4,,,
Garcia, Jarlin,606424,93.3,,,84.4,86.9,,,
Keller, Mitch,656605,95.4,,,87.6,91.0,81.1,,
Ruiz, Jose,614179,96.4,,,88.3,86.9,82.1,,
Wood, Hunter,621056,93.6,,,86.6,86.2,76.7,,
Sims, Lucas,608371,93.5,95.2,,83.3,86.5,81.6,,
Vincent, Nick,543883,88.9,89.4,86.9,83.5,83.7,,,
Shafer, Justin,596101,94.3,92.3,90.1,85.6,,,,
Floro, Dylan,571670,94.0,93.7,,87.9,87.1,,,
Richard, Clayton,453385,91.0,90.2,,79.6,82.0,,,
Strop, Pedro,467008,93.5,93.5,88.4,83.1,,,88.7,
Garcia, Edgar,658305,93.8,94.3,,87.1,89.1,,,
Pruitt, Austin,643493,91.9,91.0,,87.4,86.1,81.6,,
Hembree, Heath,592390,93.6,,,87.5,,81.7,,
Morin, Mike,573046,91.6,91.1,,81.7,72.6,,,
Sandoval, Patrick,663776,93.0,,,86.6,83.6,78.0,,
Bass, Anthony,542914,95.3,95.3,,87.3,,,86.6,
Brennan, Brandon,592165,94.5,94.7,,87.1,84.6,,,
Santiago, Hector,502327,91.8,92.5,,85.0,83.9,74.6,,
Goody, Nick,580792,92.6,,,82.3,,,,
Kline, Branden,571858,96.2,,,86.6,87.6,,,
Barraclough, Kyle,607457,93.4,,,82.5,87.4,80.2,,
Grace, Matt,594840,,91.2,88.9,83.4,85.3,77.8,,
Sadler, Casey,594987,93.3,93.4,90.2,,86.8,81.7,,
Rodon, Carlos,607074,91.4,95.3,,83.8,84.1,,,
Gonsolin, Tony,664062,93.6,,,88.0,,80.5,86.6,
Wilson, Justin,458677,95.0,,90.1,83.8,,,,
Holder, Jonathan,656547,92.1,,85.0,80.9,86.0,,,
Brigham, Jeff,656257,96.6,,,83.0,,,,
Hardy, Blaine,543278,88.2,88.8,86.1,,79.2,76.5,,
Alcantara, Victor,622505,,93.4,,89.2,88.2,,,
Carpenter, Ryan,543001,90.0,89.8,,81.5,83.3,76.1,,
Voth, Austin,608723,92.7,,,86.6,86.0,79.5,,
Hernandez, Darwinzon,650382,95.5,97.6,,82.7,,76.0,,
Duplantier, Jon,641541,92.2,92.0,,83.4,84.0,78.4,,
Webb, Logan,657277,93.2,91.8,,81.9,84.9,,,
Hellickson, Jeremy,476451,88.6,88.7,85.7,,79.8,73.7,,
Weber, Ryan,543901,88.4,89.4,,86.3,81.6,77.6,,
Sheffield, Justus,656954,92.8,,,84.2,87.7,79.4,,
Peralta, Wily,503449,94.3,94.9,,82.1,84.8,74.7,,
Springs, Jeffrey,605488,,92.1,,83.7,80.3,,,
Leone, Dominic,608678,94.3,93.3,89.7,83.7,88.1,,,
Loaisiga, Jonathan,642528,96.9,97.2,,,89.6,84.2,,
Barnes, Jacob,606930,93.6,,88.3,82.1,,,,
Helsley, Ryan,664854,97.7,,88.7,,87.7,80.7,,
Perez, Oliver,424144,91.5,91.8,,78.5,,,,
Hartlieb, Geoff,664129,96.4,95.0,,85.2,90.1,,,
Quijada, Jose,650671,93.3,,,,85.4,80.2,,
McGee, Jake,459429,93.4,,,80.4,,,,
Cisnero, Jose,542585,96.4,95.9,,86.6,90.6,,,
Peralta, Wandy,593974,95.8,95.0,,87.5,87.4,,,
Phelps, David,475479,92.7,92.6,89.5,,86.4,80.1,,
Irvin, Cole,608344,89.8,,,84.2,83.4,76.4,,
Parsons, Wes,641149,94.1,93.3,,85.9,87.1,,,
Luciano, Elvis,672773,94.1,,,84.4,87.8,,,
Hill, Tim,657612,90.4,89.9,,78.0,,,,
Wieck, Brad,623364,93.7,,,84.1,,74.9,,
Mejia, Adalberto,606167,93.0,92.0,,84.5,81.1,,,
Tinoco, Jesus,622786,94.3,93.7,,87.2,90.4,81.8,,
May, Dustin,669160,95.8,96.2,91.0,,86.3,83.0,,
Kluber, Corey,446372,92.0,91.3,88.1,,84.9,82.9,,
Reid-Foley, Sean,656887,92.5,92.7,,83.8,85.6,81.1,,
Eshelman, Tom,664045,85.5,85.6,,80.8,78.7,76.2,,
Almonte, Yency,622075,95.7,94.7,,85.8,89.0,,,
Maton, Phil,664208,91.0,,84.4,,,77.4,,
Biddle, Jesse,592145,93.8,93.2,,87.1,,77.2,,
Avilan, Luis,501593,,90.4,,,82.4,75.4,,
Hale, David,571735,93.6,93.0,,,82.1,82.1,,
Holland, Greg,518813,91.6,,,84.3,83.8,77.5,,
Ross, Tyson,475115,89.6,89.8,89.0,83.6,,,,
Smith, Josh A.,595001,91.3,91.6,89.5,86.9,81.7,78.0,,
Minter, A.J.,621345,96.0,94.2,91.5,86.3,86.1,,,
Wick, Rowan,592858,95.8,,91.7,83.5,,76.9,,
Alvarado, Jose,621237,98.0,98.1,92.4,,,86.8,,
Wood, Alex,622072,,89.9,,,83.6,81.4,,
Wright, Mike,605541,93.3,92.3,,88.7,83.9,82.9,,
Dugger, Robert,667498,90.3,89.3,,79.1,79.2,72.8,,
Phillips, Evan,623465,94.1,94.1,,84.6,85.6,,,
Sobotka, Chad,656977,96.1,96.1,,84.8,87.3,,,
Melville, Tim,543532,89.2,,,83.1,82.5,75.4,,
Littell, Zack,641793,93.9,91.0,,86.6,86.9,74.1,,
Blevins, Jerry,460283,88.7,,,,82.9,72.3,,
Fulmer, Carson,608334,93.6,,87.9,,86.5,82.8,,
Taillon, Jameson,592791,94.7,94.9,,88.7,88.0,82.1,,
Warren, Adam,476589,91.4,91.7,,85.5,84.9,78.8,,
Mills, Alec,621219,89.5,89.9,,78.2,80.7,67.6,,
Bowman, Matt,621199,92.5,91.3,93.5,89.3,,80.6,82.0,
Olson, Tyler,621397,87.0,87.7,,,81.5,73.4,,
Cordero, Jimmy,622772,97.4,97.4,90.7,83.5,88.5,,,
Newberry, Jake,623470,93.8,90.8,,83.6,87.1,,,
Suarez, Andrew,605498,92.6,92.8,,84.4,87.1,76.0,,
Webb, Jacob,657097,95.1,,,,85.8,81.6,,
Reininger, Zac,643617,94.4,93.1,,83.7,84.2,80.5,,
Jackson, Jay,543351,94.4,,,85.9,87.2,,,
Adams, Austin,613534,95.1,95.4,,89.4,,,,
Tarpley, Stephen,605501,92.5,92.5,,81.4,88.3,76.9,,
Stumpf, Daniel,621385,92.2,,,81.4,85.9,,,
Baez, Michel,673258,96.0,,,84.8,86.0,78.2,,
Blach, Ty,621389,,90.2,84.4,81.9,79.9,77.1,,
Wang, Wei-Chung,623913,91.4,90.6,,84.1,83.6,76.8,,
Adams, Chance,664856,91.7,92.8,,83.5,85.7,79.0,,
Flynn, Brian,543169,90.7,90.3,,82.4,82.6,,,
McKay, David,641853,,93.8,,,,78.4,,
Kela, Keone,605309,96.2,,,,90.4,81.9,,
Hall, Matt,664180,90.5,,84.0,81.7,82.2,76.7,,
Noesi, Hector,456051,,93.0,,88.1,86.2,80.1,,
McRae, Alex,656725,92.3,92.6,,87.2,86.2,80.0,,
Thorpe, Lewis,626929,91.2,,,84.6,84.2,73.6,,
Allen, Cody,592102,92.2,,,,,82.6,,
Guerrieri, Taylor,605260,93.8,93.8,87.7,,86.8,80.5,,
Manaea, Sean,640455,89.9,,,79.4,81.2,,,
Johnson, DJ,597113,93.2,,91.7,,83.9,82.5,,
Boxberger, Brad,502202,90.0,,,85.3,78.2,,,
Stewart, Brock,592779,91.7,91.5,,83.6,82.7,,,
Wendelken, J.B.,605525,94.8,93.8,,85.0,86.4,80.2,,
Cole, A.J.,595918,94.4,,,83.8,86.5,78.8,,
Burke, Brock,656271,92.0,90.8,,84.7,85.2,80.3,,
Minaya, Juan,573668,93.4,,87.7,84.4,88.1,83.6,,
Dobnak, Randy,677976,93.4,92.2,,,85.7,84.2,,
Crichton, Stefan,592233,93.5,93.0,,,87.3,78.8,,
Smith, Joe,501925,89.0,87.3,,79.6,77.9,,,
Dominguez, Seranthony,622554,97.3,98.3,,89.5,91.1,,,
Ramirez, Yefry,606162,93.1,92.2,,88.3,86.9,80.3,,
Scott, Tanner,656945,95.9,95.5,,88.7,,,,
Morgan, Adam,605388,92.7,92.4,,81.3,83.5,77.2,,
Shawaryn, Mike,642067,91.8,87.1,,85.0,84.5,80.9,,
Ramirez, Neil,519166,94.4,,,84.6,,79.4,,
Markel, Parker,571917,95.6,95.3,,83.1,84.6,,,
Montero, Rafael,606160,95.9,95.2,,85.1,89.9,,,
Reyes, Gerardo,622103,96.9,97.0,,88.1,,82.3,,
Fillmyer, Heath,641571,92.2,90.3,,83.3,86.2,78.6,,
Coonrod, Sam,656322,96.6,96.3,,,88.7,86.5,,
Allen, Logan,663531,92.6,,,83.5,82.4,76.6,,
Hicks, Jordan,663855,100.9,101.1,,87.0,91.0,,,
Dowdy, Kyle,664871,95.2,,,87.1,85.4,78.1,,
Zimmer, Kyle,622092,96.4,,,85.2,87.9,79.7,,
Anderson, Tyler,542881,91.2,91.4,87.0,,80.0,73.4,,
Smith, Burch,572143,92.6,92.0,,85.7,82.2,78.2,,
Strickland, Hunter,519326,96.0,95.3,91.0,83.7,89.6,,,
Sadzeck, Connor,592712,96.4,94.3,,89.9,90.6,,,
Anderson, Tanner,664196,92.2,92.6,88.8,84.9,87.5,,,
Shoemaker, Matt,533167,90.3,90.5,,81.7,,76.4,84.3,
Payano, Pedro,622797,,93.5,,84.2,83.2,79.8,,
Otero, Dan,519096,88.6,89.1,,78.9,82.2,,,
Munoz, Andres,662253,99.9,101.2,98.0,86.5,,,,
Jewell, Jake,657228,94.4,94.3,,84.8,88.6,,,
Nelson, Jimmy,519076,92.3,93.0,,85.5,87.2,82.8,,
Faria, Jake,607188,93.5,,,84.3,,,82.4,
Davis, Austin,656354,93.8,,,84.6,84.8,82.7,,
Rosenthal, Trevor,572096,98.0,98.3,,88.0,87.6,,,
Zeuch, T.J.,643615,90.7,91.9,,83.4,83.1,75.5,,
Gagnon, Drew,543193,92.1,,,84.4,82.1,79.1,,
Severino, Luis,622663,96.1,,,85.1,88.5,,,
Stashak, Cody,664054,91.7,,,82.2,85.3,,,
Ginkel, Kevin,656464,93.5,,,83.5,83.7,,,
Adam, Jason,592094,94.4,,,,89.4,77.7,,
Lakins, Travis,664042,93.7,,90.4,,87.3,81.6,,
Skoglund, Eric,607215,89.8,89.6,,,84.1,78.8,,
Cabrera, Genesis,650893,96.5,95.2,,,88.2,82.8,,
Tuivailala, Sam,592815,93.5,93.3,,86.8,,78.8,,
Duke, Zach,435043,87.7,89.0,,80.4,,74.1,,
Fairbanks, Peter,664126,97.4,,,89.9,,,,
Boshers, Buddy,542953,,92.6,,,84.4,80.4,,
Howard, Sam,607572,92.6,,,85.1,,,,
Stewart, Kohl,640464,91.9,91.6,,84.7,85.1,77.3,,
Thornburg, Tyler,592804,93.7,,,,85.5,78.3,,
Bashlor, Tyler,641341,95.6,,,82.2,87.4,,,
Festa, Matt,670036,92.6,92.0,92.1,86.2,,81.7,,
Kimbrel, Craig,518886,96.2,,,,,85.9,,
Lovelady, Richard,663992,93.4,94.3,,87.3,89.3,,,
Bergen, Travis,664157,90.5,,,,86.0,78.5,,
Oh, Seunghwan,493200,91.1,,82.2,82.7,82.5,73.4,,
Rosscup, Zac,573127,92.4,92.3,,86.2,,,,
Martin, Corbin,656686,95.2,,,89.0,87.3,83.6,,
Lockett, Walker,621141,92.5,93.1,,,86.4,80.0,,
Koch, Matt,571863,92.3,,88.9,,85.5,79.9,,
Sipp, Tony,448609,90.4,,,83.2,,,78.0,
Harvey, Joe,642840,95.2,,,87.2,90.8,,,
Wilson, Bryse,669060,94.7,92.9,,86.6,84.9,79.8,,
Burr, Ryan,621114,95.0,,87.3,83.1,,,,
Scott, Tayler,605463,94.7,94.4,,88.9,,,,
McClain, Reggie,596035,,93.7,,84.0,87.7,,,
Wright, Kyle,657140,94.7,94.1,,87.1,85.6,80.7,,
Winkler, Dan,595465,92.1,89.6,90.4,,,83.3,,
Tate, Dillon,622253,93.6,93.6,,85.1,84.7,84.0,,
Gustave, Jandel,594311,96.1,96.1,,85.4,,,,
Edwards Jr., Carl,605218,93.9,91.2,,,87.8,79.2,,
Clase, Emmanuel,661403,99.5,,99.2,90.5,,,,
Bolanos, Ronald,671790,94.3,94.1,,83.0,86.2,76.4,,
Sneed, Cy,605482,92.5,92.6,91.2,81.7,79.6,79.2,,
Tepera, Ryan,572193,93.4,93.7,88.1,82.3,85.8,,,
Hammer, JD,670456,94.4,,,84.5,,,,
Mayers, Mike,594577,94.8,,,85.7,89.2,76.8,,
Estrada, Marco,462136,87.3,,83.8,,75.7,75.4,,
Armenteros, Rogelio,660494,90.9,,,84.3,82.7,78.8,,
Palumbo, Joe,643478,93.9,,,,87.1,78.9,,
Wilkerson, Aaron,658792,89.8,,,82.7,83.2,74.5,,
Hernandez, Jonathan,642546,96.0,96.9,,88.5,89.7,,,
Marvel, James,621086,90.3,90.6,,,84.5,79.6,,
Sewald, Paul,623149,91.0,88.4,,81.8,81.2,,,
Rodriguez, Jose,642578,93.4,93.2,,84.6,86.1,80.0,,
DuRapau, Montana,657566,92.2,,86.3,,85.3,81.2,,
Hildenberger, Trevor,657610,90.8,87.3,,76.6,76.7,,,
Staumont, Josh,622251,95.9,95.7,94.9,,,81.6,,
Garrett, Reed,657585,95.7,,90.5,85.2,,,88.0,
Shepherd, Chandler,605469,92.1,,,86.0,85.9,81.8,,
Menez, Conner,669214,91.2,,,84.5,82.7,80.0,,
Sherfy, Jimmie,642073,92.5,,,78.2,85.5,71.2,,
Adams, Austin,542866,96.2,,,86.8,89.9,,,
Romano, Jordan,605447,94.6,97.2,,84.7,,,,
Dunn, Mike,445197,91.4,91.5,,85.2,,74.8,,
Grotz, Zac,665093,92.2,91.0,,87.7,,81.3,82.3,
McGowin, Kyle,641851,91.5,90.9,,83.5,84.4,79.9,,
Volquez, Edinson,450172,93.9,93.4,,,83.1,80.8,,
Valdez, Phillips,570488,91.7,92.2,,84.7,84.8,,,
Chargois, JT,608638,95.5,96.2,,86.8,,,,
Ramos, Edubray,591693,91.5,,,80.8,89.0,,,
Smith, Josh D.,605479,90.6,89.8,,80.2,84.6,,,
Mazza, Chris,607391,90.6,92.0,88.3,82.0,84.5,,,
Neshek, Pat,450212,,88.5,87.9,81.6,63.4,,,
Altavilla, Dan,656186,96.6,,,87.9,,,,
Alexander, Scott,518397,,92.8,,84.2,87.0,,,
Romero, Fernando,622864,96.6,97.1,,87.3,92.2,,,
Miller, Justin,502522,92.2,92.1,,85.8,88.7,,,
Flexen, Chris,623167,94.3,94.5,,88.1,83.6,78.1,,
Lucas, Josh,572998,90.3,89.7,,83.3,,81.5,,
Tropeano, Nick,607374,90.8,90.1,,78.9,81.6,,82.8,
Gomez, Jeanmar,491646,91.0,91.1,,83.8,84.5,75.4,,
Gibaut, Ian,664139,95.2,,,87.6,85.7,,,
Romano, Sal,607219,96.1,95.9,,87.1,,81.4,,
Williams, Taylor,592865,95.3,95.2,,86.3,89.6,,,
Cueto, Johnny,456501,91.3,91.1,,84.1,83.4,80.8,,
Black, Ray,605143,98.2,,,86.0,,,,
Rogers, Josh,642028,89.4,87.8,,80.3,82.3,77.8,,
Alaniz, R.J.,595798,93.7,93.4,,85.7,86.7,83.4,,
Suter, Brent,608718,87.5,87.6,,,80.5,74.0,,
Kay, Anthony,641743,93.4,,,,85.4,78.1,,
Rogers, Tyler,643511,83.1,82.2,,,,72.8,,
Williams, Devin,642207,96.4,96.0,91.5,87.8,85.9,,,
Despaigne, Odrisamer,628333,93.0,92.5,86.9,80.9,78.5,73.1,,
Dull, Ryan,623430,91.1,,,82.8,85.8,,,
Santana, Ervin,429722,90.0,90.1,,82.2,83.4,,,